8 kwi 2024,Interest earned,,"0,20€","6 551,74€"
9 kwi 2024,Interest earned,,"0,20€","6 551,94€"
10 kwi 2024,Interest earned,,"0,20€","6 552,14€"
11 kwi 2024,Interest earned,,"0,19€","6 552,33€"
12 kwi 2024,Interest earned,,"0,24€","6 552,57€"
12 kwi 2024,Depositing savings,,"3 620,48€","10 173,05€"
13 kwi 2024,Interest earned,,"0,25€","10 173,30€"
14 kwi 2024,Interest earned,,"0,24€","10 173,54€"
15 kwi 2024,Interest earned,,"0,24€","10 173,78€"
16 kwi 2024,Interest earned,,"0,37€","10 174,15€"
17 kwi 2024,Interest earned,,"0,38€","10 174,53€"
18 kwi 2024,Interest earned,,"0,38€","10 174,91€"
19 kwi 2024,Interest earned,,"0,37€","10 175,28€"
20 kwi 2024,Interest earned,,"0,38€","10 175,66€"
21 kwi 2024,Interest earned,,"0,37€","10 176,03€"
22 kwi 2024,Interest earned,,"0,38€","10 176,41€"
23 kwi 2024,Interest earned,,"0,37€","10 176,78€"
24 kwi 2024,Interest earned,,"0,38€","10 177,16€"
25 kwi 2024,Interest earned,,"0,37€","10 177,53€"
26 kwi 2024,Interest earned,,"0,38€","10 177,91€"
27 kwi 2024,Interest earned,,"0,37€","10 178,28€"
28 kwi 2024,Interest earned,,"0,38€","10 178,66€"
29 kwi 2024,Interest earned,,"0,37€","10 179,03€"
30 kwi 2024,Interest earned,,"0,38€","10 179,41€"
1 maj 2024,Interest earned,,"0,38€","10 179,79€"
2 maj 2024,Interest earned,,"0,37€","10 180,16€"
2 maj 2024,Withdrawing savings,165€,,"10 015,16€"
3 maj 2024,Interest earned,,"0,38€","10 015,54€"
4 maj 2024,Interest earned,,"0,37€","10 015,91€"
5 maj 2024,Interest earned,,"0,38€","10 016,29€"
6 maj 2024,Interest earned,,"0,37€","10 016,66€"
7 maj 2024,Interest earned,,"0,37€","10 017,03€"
8 maj 2024,Interest earned,,"0,37€","10 017,40€"
9 maj 2024,Interest earned,,"0,37€","10 017,77€"
10 maj 2024,Interest earned,,"0,37€","10 018,14€"
11 maj 2024,Interest earned,,"0,37€","10 018,51€"
12 maj 2024,Interest earned,,"0,37€","10 018,88€"
13 maj 2024,Interest earned,,"0,37€","10 019,25€"
14 maj 2024,Interest earned,,"0,37€","10 019,62€"
15 maj 2024,Interest earned,,"0,37€","10 019,99€"
16 maj 2024,Interest earned,,"0,37€","10 020,36€"
16 maj 2024,Withdrawing savings,"1 912,50€",,"8 107,86€"
17 maj 2024,Interest earned,,"0,37€","8 108,23€"
18 maj 2024,Interest earned,,"0,30€","8 108,53€"
19 maj 2024,Interest earned,,"0,30€","8 108,83€"
20 maj 2024,Interest earned,,"0,29€","8 109,12€"
21 maj 2024,Interest earned,,"0,30€","8 109,42€"
22 maj 2024,Interest earned,,"0,30€","8 109,72€"
23 maj 2024,Interest earned,,"0,30€","8 110,02€"
24 maj 2024,Interest earned,,"0,30€","8 110,32€"
25 maj 2024,Interest earned,,"0,30€","8 110,62€"
26 maj 2024,Interest earned,,"0,30€","8 110,92€"
27 maj 2024,Interest earned,,"0,30€","8 111,22€"
28 maj 2024,Interest earned,,"0,30€","8 111,52€"
29 maj 2024,Interest earned,,"0,30€","8 111,82€"
30 maj 2024,Interest earned,,"0,30€","8 112,12€"
31 maj 2024,Interest earned,,"0,30€","8 112,42€"
1 cze 2024,Interest earned,,"0,29€","8 112,71€"
2 cze 2024,Interest earned,,"0,30€","8 113,01€"
3 cze 2024,Interest earned,,"0,30€","8 113,31€"
4 cze 2024,Interest earned,,"0,30€","8 113,61€"
4 cze 2024,Depositing savings,,2 320€,"10 433,61€"
5 cze 2024,Interest earned,,"0,30€","10 433,91€"
6 cze 2024,Interest earned,,"0,39€","10 434,30€"
7 cze 2024,Interest earned,,"0,38€","10 434,68€"
8 cze 2024,Interest earned,,"0,39€","10 435,07€"
9 cze 2024,Interest earned,,"0,38€","10 435,45€"
10 cze 2024,Interest earned,,"0,39€","10 435,84€"
11 cze 2024,Interest earned,,"0,38€","10 436,22€"
12 cze 2024,Interest earned,,"0,39€","10 436,61€"
13 cze 2024,Interest earned,,"0,38€","10 436,99€"
14 cze 2024,Interest earned,,"0,39€","10 437,38€"
15 cze 2024,Interest earned,,"0,38€","10 437,76€"
16 cze 2024,Interest earned,,"0,39€","10 438,15€"
17 cze 2024,Interest earned,,"0,38€","10 438,53€"
18 cze 2024,Interest earned,,"0,39€","10 438,92€"
19 cze 2024,Interest earned,,"0,38€","10 439,30€"
20 cze 2024,Interest earned,,"0,39€","10 439,69€"
21 cze 2024,Interest earned,,"0,38€","10 440,07€"
22 cze 2024,Interest earned,,"0,39€","10 440,46€"
23 cze 2024,Interest earned,,"0,38€","10 440,84€"
23 cze 2024,Withdrawing savings,350€,,"10 090,84€"
24 cze 2024,Interest earned,,"0,39€","10 091,23€"
24 cze 2024,Depositing savings,,2 300€,"12 391,23€"
25 cze 2024,Interest earned,,"0,37€","12 391,60€"
26 cze 2024,Interest earned,,"0,46€","12 392,06€"
27 cze 2024,Interest earned,,"0,45€","12 392,51€"
28 cze 2024,Interest earned,,"0,46€","12 392,97€"
29 cze 2024,Interest earned,,"0,46€","12 393,43€"
30 cze 2024,Interest earned,,"0,45€","12 393,88€"
1 lip 2024,Interest earned,,"0,46€","12 394,34€"
2 lip 2024,Interest earned,,"0,46€","12 394,80€"
3 lip 2024,Interest earned,,"0,46€","12 395,26€"
4 lip 2024,Interest earned,,"0,45€","12 395,71€"
5 lip 2024,Interest earned,,"0,46€","12 396,17€"
6 lip 2024,Interest earned,,"0,46€","12 396,63€"
6 lip 2024,Withdrawing savings,100€,,"12 296,63€"
7 lip 2024,Interest earned,,"0,45€","12 297,08€"
7 lip 2024,Withdrawing savings,100€,,"12 197,08€"
8 lip 2024,Interest earned,,"0,46€","12 197,54€"
8 lip 2024,Withdrawing savings,200€,,"11 997,54€"
9 lip 2024,Interest earned,,"0,45€","11 997,99€"
9 lip 2024,Withdrawing savings,150€,,"11 847,99€"
10 lip 2024,Interest earned,,"0,44€","11 848,43€"
10 lip 2024,Withdrawing savings,300€,,"11 548,43€"
10 lip 2024,Withdrawing savings,200€,,"11 348,43€"
11 lip 2024,Interest earned,,"0,44€","11 348,87€"
12 lip 2024,Interest earned,,"0,42€","11 349,29€"
12 lip 2024,Withdrawing savings,200€,,"11 149,29€"
13 lip 2024,Interest earned,,"0,42€","11 149,71€"
13 lip 2024,Withdrawing savings,200€,,"10 949,71€"
14 lip 2024,Interest earned,,"0,42€","10 950,13€"
14 lip 2024,Withdrawing savings,60€,,"10 890,13€"
14 lip 2024,Depositing savings,,"34,12€","10 924,25€"
15 lip 2024,Interest earned,,"0,42€","10 924,67€"
16 lip 2024,Interest earned,,"0,40€","10 925,07€"
17 lip 2024,Interest earned,,"0,40€","10 925,47€"
18 lip 2024,Interest earned,,"0,40€","10 925,87€"
19 lip 2024,Interest earned,,"0,41€","10 926,28€"
20 lip 2024,Interest earned,,"0,40€","10 926,68€"
21 lip 2024,Interest earned,,"0,40€","10 927,08€"
22 lip 2024,Interest earned,,"0,41€","10 927,49€"
23 lip 2024,Interest earned,,"0,40€","10 927,89€"
24 lip 2024,Interest earned,,"0,40€","10 928,29€"
25 lip 2024,Interest earned,,"0,41€","10 928,70€"
26 lip 2024,Interest earned,,"0,40€","10 929,10€"
27 lip 2024,Interest earned,,"0,40€","10 929,50€"
27 lip 2024,Withdrawing savings,6 000€,,"4 929,50€"
27 lip 2024,Depositing savings,,"83,73€","5 013,23€"
28 lip 2024,Interest earned,,"0,41€","5 013,64€"
29 lip 2024,Interest earned,,"0,40€","5 014,04€"
29 lip 2024,Depositing savings,,"278,17€","5 292,21€"
30 lip 2024,Interest earned,,"0,18€","5 292,39€"
31 lip 2024,Interest earned,,"0,20€","5 292,59€"
1 sie 2024,Interest earned,,"0,19€","5 292,78€"
2 sie 2024,Interest earned,,"0,20€","5 292,98€"
3 sie 2024,Interest earned,,"0,19€","5 293,17€"
4 sie 2024,Interest earned,,"0,20€","5 293,37€"
5 sie 2024,Interest earned,,"0,20€","5 293,57€"
6 sie 2024,Interest earned,,"0,19€","5 293,76€"
7 sie 2024,Interest earned,,"0,20€","5 293,96€"
8 sie 2024,Interest earned,,"0,19€","5 294,15€"
9 sie 2024,Interest earned,,"0,20€","5 294,35€"
10 sie 2024,Interest earned,,"0,19€","5 294,54€"
11 sie 2024,Interest earned,,"0,20€","5 294,74€"
12 sie 2024,Interest earned,,"0,19€","5 294,93€"
13 sie 2024,Interest earned,,"0,20€","5 295,13€"
14 sie 2024,Interest earned,,"0,19€","5 295,32€"
15 sie 2024,Interest earned,,"0,20€","5 295,52€"
16 sie 2024,Interest earned,,"0,19€","5 295,71€"
17 sie 2024,Interest earned,,"0,20€","5 295,91€"
18 sie 2024,Interest earned,,"0,19€","5 296,10€"
19 sie 2024,Interest earned,,"0,20€","5 296,30€"
20 sie 2024,Interest earned,,"0,19€","5 296,49€"
21 sie 2024,Interest earned,,"0,20€","5 296,69€"
22 sie 2024,Interest earned,,"0,20€","5 296,89€"
23 sie 2024,Interest earned,,"0,19€","5 297,08€"
24 sie 2024,Interest earned,,"0,20€","5 297,28€"
25 sie 2024,Interest earned,,"0,19€","5 297,47€"
26 sie 2024,Interest earned,,"0,20€","5 297,67€"
26 sie 2024,Depositing savings,,52€,"5 349,67€"
27 sie 2024,Interest earned,,"0,19€","5 349,86€"
28 sie 2024,Interest earned,,"0,20€","5 350,06€"
29 sie 2024,Interest earned,,"0,20€","5 350,26€"
30 sie 2024,Interest earned,,"0,19€","5 350,45€"
31 sie 2024,Interest earned,,"0,20€","5 350,65€"
1 wrz 2024,Interest earned,,"0,20€","5 350,85€"
2 wrz 2024,Interest earned,,"0,20€","5 351,05€"
2 wrz 2024,Withdrawing savings,"7,50€",,"5 343,55€"
2 wrz 2024,Depositing savings,,"0,18€","5 343,73€"
3 wrz 2024,Interest earned,,"0,19€","5 343,92€"
4 wrz 2024,Interest earned,,"0,20€","5 344,12€"
4 wrz 2024,Depositing savings,,"169,37€","5 513,49€"
5 wrz 2024,Interest earned,,"0,20€","5 513,69€"
6 wrz 2024,Interest earned,,"0,20€","5 513,89€"
7 wrz 2024,Interest earned,,"0,20€","5 514,09€"
8 wrz 2024,Interest earned,,"0,21€","5 514,30€"
9 wrz 2024,Interest earned,,"0,20€","5 514,50€"
9 wrz 2024,Depositing savings,,"224,31€","5 738,81€"
9 wrz 2024,Withdrawing savings,4 000€,,"1 738,81€"
9 wrz 2024,Depositing savings,,"225,39€","1 964,20€"
10 wrz 2024,Interest earned,,"0,20€","1 964,40€"
11 wrz 2024,Interest earned,,"0,08€","1 964,48€"
12 wrz 2024,Interest earned,,"0,07€","1 964,55€"
13 wrz 2024,Interest earned,,"0,07€","1 964,62€"
14 wrz 2024,Interest earned,,"0,07€","1 964,69€"
15 wrz 2024,Interest earned,,"0,08€","1 964,77€"
16 wrz 2024,Interest earned,,"0,07€","1 964,84€"
17 wrz 2024,Interest earned,,"0,07€","1 964,91€"
17 wrz 2024,Depositing savings,,"169,20€","2 134,11€"
18 wrz 2024,Interest earned,,"0,07€","2 134,18€"
18 wrz 2024,Withdrawing savings,120€,,"2 014,18€"
19 wrz 2024,Interest earned,,"0,08€","2 014,26€"
19 wrz 2024,Depositing savings,,229€,"2 243,26€"
20 wrz 2024,Interest earned,,"0,07€","2 243,33€"
21 wrz 2024,Interest earned,,"0,09€","2 243,42€"
22 wrz 2024,Interest earned,,"0,08€","2 243,50€"
23 wrz 2024,Interest earned,,"0,08€","2 243,58€"
24 wrz 2024,Interest earned,,"0,08€","2 243,66€"
25 wrz 2024,Interest earned,,"0,09€","2 243,75€"
26 wrz 2024,Interest earned,,"0,08€","2 243,83€"
27 wrz 2024,Interest earned,,"0,08€","2 243,91€"
27 wrz 2024,Depositing savings,,59€,"2 302,91€"
28 wrz 2024,Interest earned,,"0,09€",2 303€
29 wrz 2024,Interest earned,,"0,08€","2 303,08€"
30 wrz 2024,Interest earned,,"0,08€","2 303,16€"
1 paź 2024,Interest earned,,"0,09€","2 303,25€"
2 paź 2024,Interest earned,,"0,08€","2 303,33€"
3 paź 2024,Interest earned,,"0,09€","2 303,42€"
4 paź 2024,Interest earned,,"0,08€","2 303,50€"
5 paź 2024,Interest earned,,"0,09€","2 303,59€"
6 paź 2024,Interest earned,,"0,08€","2 303,67€"
7 paź 2024,Interest earned,,"0,09€","2 303,76€"
8 paź 2024,Interest earned,,"0,08€","2 303,84€"
9 paź 2024,Interest earned,,"0,09€","2 303,93€"
10 paź 2024,Interest earned,,"0,08€","2 304,01€"
11 paź 2024,Interest earned,,"0,09€","2 304,10€"
11 paź 2024,Depositing savings,,"79,80€","2 383,90€"
12 paź 2024,Interest earned,,"0,08€","2 383,98€"
13 paź 2024,Interest earned,,"0,09€","2 384,07€"
14 paź 2024,Interest earned,,"0,08€","2 384,15€"
15 paź 2024,Interest earned,,"0,09€","2 384,24€"
16 paź 2024,Interest earned,,"0,09€","2 384,33€"
17 paź 2024,Interest earned,,"0,08€","2 384,41€"
18 paź 2024,Interest earned,,"0,09€","2 384,50€"
19 paź 2024,Interest earned,,"0,09€","2 384,59€"
20 paź 2024,Interest earned,,"0,09€","2 384,68€"
21 paź 2024,Interest earned,,"0,09€","2 384,77€"
22 paź 2024,Interest earned,,"0,08€","2 384,85€"
23 paź 2024,Interest earned,,"0,09€","2 384,94€"
24 paź 2024,Interest earned,,"0,09€","2 385,03€"
25 paź 2024,Interest earned,,"0,09€","2 385,12€"
26 paź 2024,Interest earned,,"0,09€","2 385,21€"
27 paź 2024,Interest earned,,"0,08€","2 385,29€"
28 paź 2024,Interest earned,,"0,09€","2 385,38€"
29 paź 2024,Interest earned,,"0,12€","2 385,50€"
30 paź 2024,Interest earned,,"0,12€","2 385,62€"
30 paź 2024,Depositing savings,,"3 061,49€","5 447,11€"
31 paź 2024,Interest earned,,"0,12€","5 447,23€"
1 lis 2024,Interest earned,,"0,28€","5 447,51€"
2 lis 2024,Interest earned,,"0,27€","5 447,78€"
3 lis 2024,Interest earned,,"0,28€","5 448,06€"
4 lis 2024,Interest earned,,"0,27€","5 448,33€"
5 lis 2024,Interest earned,,"0,28€","5 448,61€"
6 lis 2024,Interest earned,,"0,28€","5 448,89€"
7 lis 2024,Interest earned,,"0,27€","5 449,16€"
8 lis 2024,Interest earned,,"0,28€","5 449,44€"
9 lis 2024,Interest earned,,"0,27€","5 449,71€"
10 lis 2024,Interest earned,,"0,28€","5 449,99€"
11 lis 2024,Interest earned,,"0,27€","5 450,26€"
12 lis 2024,Interest earned,,"0,28€","5 450,54€"
13 lis 2024,Interest earned,,"0,27€","5 450,81€"
14 lis 2024,Interest earned,,"0,28€","5 451,09€"
15 lis 2024,Interest earned,,"0,28€","5 451,37€"
16 lis 2024,Interest earned,,"0,27€","5 451,64€"
17 lis 2024,Interest earned,,"0,28€","5 451,92€"
18 lis 2024,Interest earned,,"0,27€","5 452,19€"
19 lis 2024,Interest earned,,"0,28€","5 452,47€"
20 lis 2024,Interest earned,,"0,27€","5 452,74€"
20 lis 2024,Withdrawing savings,"5 452,74€",,0€

Transactions for Savings Accounts - PLN
Date,Description,Money out,Money in,Balance
1 sty 2024,Interest earned,,"0,83 PLN","10 131,33 PLN"
2 sty 2024,Interest earned,,"0,83 PLN","10 132,16 PLN"
2 sty 2024,Depositing savings,,400 PLN,"10 532,16 PLN"
3 sty 2024,Interest earned,,"0,83 PLN","10 532,99 PLN"
4 sty 2024,Interest earned,,"0,86 PLN","10 533,85 PLN"
5 sty 2024,Interest earned,,"0,87 PLN","10 534,72 PLN"
6 sty 2024,Interest earned,,"0,86 PLN","10 535,58 PLN"
7 sty 2024,Interest earned,,"0,86 PLN","10 536,44 PLN"
8 sty 2024,Interest earned,,"0,87 PLN","10 537,31 PLN"
9 sty 2024,Interest earned,,"0,86 PLN","10 538,17 PLN"
10 sty 2024,Interest earned,,"0,87 PLN","10 539,04 PLN"
11 sty 2024,Interest earned,,"0,86 PLN","10 539,90 PLN"
12 sty 2024,Interest earned,,"0,86 PLN","10 540,76 PLN"
13 sty 2024,Interest earned,,"0,87 PLN","10 541,63 PLN"
14 sty 2024,Interest earned,,"0,86 PLN","10 542,49 PLN"
15 sty 2024,Interest earned,,"0,87 PLN","10 543,36 PLN"
16 sty 2024,Interest earned,,"0,86 PLN","10 544,22 PLN"
17 sty 2024,Interest earned,,"0,86 PLN","10 545,08 PLN"
18 sty 2024,Interest earned,,"0,87 PLN","10 545,95 PLN"
19 sty 2024,Interest earned,,"0,86 PLN","10 546,81 PLN"
20 sty 2024,Interest earned,,"0,87 PLN","10 547,68 PLN"
20 sty 2024,Withdrawing savings,47 PLN,,"10 500,68 PLN"
21 sty 2024,Interest earned,,"0,86 PLN","10 501,54 PLN"
21 sty 2024,Withdrawing savings,300 PLN,,"10 201,54 PLN"
22 sty 2024,Interest earned,,"0,87 PLN","10 202,41 PLN"
23 sty 2024,Interest earned,,"0,83 PLN","10 203,24 PLN"
24 sty 2024,Interest earned,,"0,84 PLN","10 204,08 PLN"
25 sty 2024,Interest earned,,"0,84 PLN","10 204,92 PLN"
26 sty 2024,Interest earned,,"0,83 PLN","10 205,75 PLN"
27 sty 2024,Interest earned,,"0,84 PLN","10 206,59 PLN"
28 sty 2024,Interest earned,,"0,83 PLN","10 207,42 PLN"
29 sty 2024,Interest earned,,"0,84 PLN","10 208,26 PLN"
30 sty 2024,Interest earned,,"0,84 PLN","10 209,10 PLN"
31 sty 2024,Interest earned,,"0,84 PLN","10 209,94 PLN"
1 lut 2024,Interest earned,,"0,83 PLN","10 210,77 PLN"
1 lut 2024,Depositing savings,,500 PLN,"10 710,77 PLN"
2 lut 2024,Interest earned,,"0,84 PLN","10 711,61 PLN"
3 lut 2024,Interest earned,,"0,88 PLN","10 712,49 PLN"
4 lut 2024,Interest earned,,"0,88 PLN","10 713,37 PLN"
5 lut 2024,Interest earned,,"0,87 PLN","10 714,24 PLN"
6 lut 2024,Interest earned,,"0,88 PLN","10 715,12 PLN"
7 lut 2024,Interest earned,,"0,88 PLN",10 716 PLN
8 lut 2024,Interest earned,,"0,88 PLN","10 716,88 PLN"
9 lut 2024,Interest earned,,"0,88 PLN","10 717,76 PLN"
10 lut 2024,Interest earned,,"0,87 PLN","10 718,63 PLN"
11 lut 2024,Interest earned,,"0,88 PLN","10 719,51 PLN"
12 lut 2024,Interest earned,,"0,88 PLN","10 720,39 PLN"
13 lut 2024,Interest earned,,"0,88 PLN","10 721,27 PLN"
13 lut 2024,Depositing savings,,900 PLN,"11 621,27 PLN"
14 lut 2024,Interest earned,,"0,88 PLN","11 622,15 PLN"
15 lut 2024,Interest earned,,"0,95 PLN","11 623,10 PLN"
16 lut 2024,Interest earned,,"0,96 PLN","11 624,06 PLN"
17 lut 2024,Interest earned,,"0,95 PLN","11 625,01 PLN"
18 lut 2024,Interest earned,,"0,95 PLN","11 625,96 PLN"
19 lut 2024,Interest earned,,"0,95 PLN","11 626,91 PLN"
19 lut 2024,Withdrawing savings,100 PLN,,"11 526,91 PLN"
20 lut 2024,Interest earned,,"0,96 PLN","11 527,87 PLN"
21 lut 2024,Interest earned,,"0,94 PLN","11 528,81 PLN"
22 lut 2024,Interest earned,,"0,95 PLN","11 529,76 PLN"
23 lut 2024,Interest earned,,"0,94 PLN","11 530,70 PLN"
24 lut 2024,Interest earned,,"0,95 PLN","11 531,65 PLN"
25 lut 2024,Interest earned,,"0,94 PLN","11 532,59 PLN"
26 lut 2024,Interest earned,,"0,95 PLN","11 533,54 PLN"
27 lut 2024,Interest earned,,"0,94 PLN","11 534,48 PLN"
28 lut 2024,Interest earned,,"0,95 PLN","11 535,43 PLN"
29 lut 2024,Interest earned,,"0,94 PLN","11 536,37 PLN"
1 mar 2024,Interest earned,,"0,95 PLN","11 537,32 PLN"
1 mar 2024,Depositing savings,,600 PLN,"12 137,32 PLN"
2 mar 2024,Interest earned,,"0,94 PLN","12 138,26 PLN"
3 mar 2024,Interest earned,,"0,95 PLN","12 139,21 PLN"
4 mar 2024,Interest earned,,"0,95 PLN","12 140,16 PLN"
4 mar 2024,Depositing savings,,100 PLN,"12 240,16 PLN"
5 mar 2024,Interest earned,,"0,99 PLN","12 241,15 PLN"
6 mar 2024,Interest earned,,1 PLN,"12 242,15 PLN"
7 mar 2024,Interest earned,,"1,01 PLN","12 243,16 PLN"
8 mar 2024,Interest earned,,1 PLN,"12 244,16 PLN"
9 mar 2024,Interest earned,,"1,01 PLN","12 245,17 PLN"
10 mar 2024,Interest earned,,1 PLN,"12 246,17 PLN"
11 mar 2024,Interest earned,,1 PLN,"12 247,17 PLN"
11 mar 2024,Depositing savings,,100 PLN,"12 347,17 PLN"
12 mar 2024,Interest earned,,"1,01 PLN","12 348,18 PLN"
13 mar 2024,Interest earned,,"1,01 PLN","12 349,19 PLN"
14 mar 2024,Interest earned,,"1,01 PLN","12 350,20 PLN"
15 mar 2024,Interest earned,,"1,01 PLN","12 351,21 PLN"
16 mar 2024,Interest earned,,"1,02 PLN","12 352,23 PLN"
