Completed Date,Product name,Description,Interest rate (p.a.),Money out,Money in,Balance
"7 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/07","1.11%","","+€0.06","€2,000.90"
"8 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/08","1.11%","","+€0.06","€2,000.96"
"9 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/09","1.11%","","+€0.06","€2,001.02"
"10 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/10","1.11%","","+€0.06","€2,001.08"
"11 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/11","1.11%","","+€0.06","€2,001.14"
"12 Sep 2023","Instant Access - Aion Bank","Wpłata","","","+€6,000","€8,001.14"
"12 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/12","1.11%","","+€0.06","€8,001.20"
"13 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/13","1.11%","","+€0.24","€8,001.44"
"14 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/14","1.11%","","+€0.24","€8,001.68"
"15 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/15","1.11%","","+€0.24","€8,001.92"
"16 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/16","1.11%","","+€0.24","€8,002.16"
"17 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/17","1.11%","","+€0.25","€8,002.41"
"18 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/18","1.11%","","+€0.24","€8,002.65"
"19 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/19","1.11%","","+€0.24","€8,002.89"
"20 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/20","1.11%","","+€0.24","€8,003.13"
"21 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/21","1.11%","","+€0.24","€8,003.37"
"22 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/22","1.11%","","+€0.24","€8,003.61"
"23 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/23","1.11%","","+€0.24","€8,003.85"
"24 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/24","1.11%","","+€0.24","€8,004.09"
"25 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/25","1.11%","","+€0.25","€8,004.34"
"26 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/26","1.11%","","+€0.24","€8,004.58"
"27 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/27","1.11%","","+€0.24","€8,004.82"
"28 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/28","1.11%","","+€0.24","€8,005.06"
"29 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/29","1.11%","","+€0.24","€8,005.30"
"30 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/30","1.11%","","+€0.24","€8,005.54"
"1 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/01","1.11%","","+€0.24","€8,005.78"
"2 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/02","1.11%","","+€0.24","€8,006.02"
"3 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/03","1.11%","","+€0.25","€8,006.27"
"4 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/04","1.11%","","+€0.24","€8,006.51"
"5 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/05","1.11%","","+€0.24","€8,006.75"
"6 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/06","1.11%","","+€0.24","€8,006.99"
"7 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/07","1.11%","","+€0.24","€8,007.23"
"8 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/08","1.11%","","+€0.24","€8,007.47"
"9 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/09","1.11%","","+€0.24","€8,007.71"
"10 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/10","1.11%","","+€0.24","€8,007.95"
"11 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/11","1.11%","","+€0.25","€8,008.20"
"12 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/12","1.11%","","+€0.24","€8,008.44"
"13 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/13","1.11%","","+€0.24","€8,008.68"
"14 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/14","1.11%","","+€0.24","€8,008.92"
"15 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/15","1.11%","","+€0.24","€8,009.16"
"16 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/16","1.11%","","+€0.24","€8,009.40"
"17 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/17","1.11%","","+€0.24","€8,009.64"
"18 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/18","1.11%","","+€0.25","€8,009.89"
"19 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/19","1.11%","","+€0.24","€8,010.13"
"20 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/20","1.11%","","+€0.24","€8,010.37"
"21 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/21","1.11%","","+€0.24","€8,010.61"
"22 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/22","1.11%","","+€0.24","€8,010.85"
"23 Oct 2023","Instant Access - Aion Bank","Wpłata","","","+€200","€8,210.85"
"23 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/23","1.11%","","+€0.24","€8,211.09"
"24 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/24","1.11%","","+€0.25","€8,211.34"
"25 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/25","1.11%","","+€0.25","€8,211.59"
"26 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/26","1.11%","","+€0.25","€8,211.84"
"27 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/27","1.11%","","+€0.24","€8,212.08"
"28 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/28","1.11%","","+€0.25","€8,212.33"
"29 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/29","1.11%","","+€0.25","€8,212.58"
"30 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/30","1.11%","","+€0.25","€8,212.83"
"31 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/31","1.11%","","+€0.24","€8,213.07"
"1 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/01","1.11%","","+€0.25","€8,213.32"
"2 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/02","1.11%","","+€0.25","€8,213.57"
"3 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/03","1.11%","","+€0.25","€8,213.82"
"4 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/04","1.11%","","+€0.24","€8,214.06"
"5 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/05","1.11%","","+€0.25","€8,214.31"
"6 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/06","1.11%","","+€0.25","€8,214.56"
"7 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/07","1.11%","","+€0.25","€8,214.81"
"8 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/08","1.11%","","+€0.24","€8,215.05"
"9 Nov 2023","Instant Access - Aion Bank","Wpłata","","","+€600","€8,815.05"
"9 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/09","1.11%","","+€0.25","€8,815.30"
"10 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/10","1.11%","","+€0.27","€8,815.57"
"11 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/11","1.11%","","+€0.26","€8,815.83"
"12 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/12","1.11%","","+€0.27","€8,816.10"
"13 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/13","1.11%","","+€0.26","€8,816.36"
"14 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/14","1.11%","","+€0.27","€8,816.63"
"15 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/15","1.11%","","+€0.26","€8,816.89"
"16 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/16","1.11%","","+€0.27","€8,817.16"
"17 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/17","1.11%","","+€0.27","€8,817.43"
"18 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/18","1.11%","","+€0.26","€8,817.69"
"19 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/19","1.11%","","+€0.27","€8,817.96"
"20 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/20","1.11%","","+€0.26","€8,818.22"
"21 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/21","1.11%","","+€0.27","€8,818.49"
"22 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/22","1.11%","","+€0.26","€8,818.75"
"23 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/23","1.11%","","+€0.27","€8,819.02"
"24 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/24","1.11%","","+€0.27","€8,819.29"
"25 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/25","1.11%","","+€0.26","€8,819.55"
"26 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/26","1.11%","","+€0.27","€8,819.82"
"27 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/27","1.11%","","+€0.26","€8,820.08"
"27 Nov 2023","","Saldo do przeniesienia","","","","€8,820.08"
